#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
O						Ring0_1_1	18.0153		[O;!R;X2;!$(OC(=O));!$(OP(=O))]												[O;!R;X2;!$(OC(=O));!$(OP(=O))]												[O;!R;X2;!$(OC(=O));!$(OP(=O))](y)
F						Ring0_2_1	20.00634	[F;X1]															[F;X1]															No
N#C						Ring0_3_1	27.0253		[N;X1]#[C;!R;X2]													[C;!R;X2]#[N;X1]													No
C(=O)						Ring0_4_1	30.0260		[C;!R;X3;!$(C(=O)N);!$(C(=O)O)](=[O;X1])										[C;!R;X3;!$(C(=O)N);!$(C(=O)O)](=[O;X1])										[C;!R;X3;!$(C(=O)N);!$(C(=O)O)](=[O;X1])(y)
N(=O)						Ring0_5_1	31.0140		[N;!R;X2](=[O;X1])													[N;!R;X2](=[O;X1])													No
S						Ring0_6_1	34.081		[S;!R;X2]														[S;!R;X2]														No
Cl						Ring0_7_1	36.461		[Cl;X1]															[Cl;X1]															No
[N+]([O-])(=O)					Ring0_8_1	46.0055		[$([N;!R;X3](=O)=O),$([N+;!R;X3](=O)[O-])]										[$([N;!R;X3](=O)=O),$([N+;!R;X3](=O)[O-])]										No
Br						Ring0_10_1	80.912		[Br;X1]															[Br;X1]															No
I						Ring0_11_1	127.91241	[I;X1]															[I;X1]															No
C						Ring0_12_1	16.0425		[C;!R;X4]														[C;!R;X4]														[C;!R;X4](y)
N						Ring0_13_1	17.0305		[N;!R;X3;!$(NS(=O)(=O));!$(NC(=O));!$(N=C);!$(N=O)]									[N;!R;X3;!$(NS(=O)(=O));!$(NC(=O));!$(N=C);!$(N=O)]									[N;!R;X3;!$(NS(=O)(=O));!$(NC(=O));!$(N=C);!$(N=O)](y)
C#C						Ring0_15_1	26.0373		[C;!R;X2]#[C;!R;X2]													[C;!R;X2]#[C;!R;X2]													[C;!R;X2]#[C;!R;X2](y)
C=C						Ring0_16_1	28.0532		[C;!R;X3]=[C;!R;X3]													[C;!R;X3]=[C;!R;X3]													[C;!R;X3](y)=[C;!R;X3](y)
C=N						Ring0_17_1	29.0412		[C;!R;X3]=[N;!R;X2]													[N;!R;X2]=[C;!R;X3]													[N;!R;X2]=[C;!R;X3](y)
N=C						Ring0_17_2	29.0412		[N;!R;X2]=[C;!R;X3]													[C;!R;X3]=[N;!R;X2]													[C;!R;X3](y)=[N;!R;X2](y)
C(=O)-N						Ring0_20_1	45.0406		[C;!R;X3;!$(C(=O)(N)N)](=[O;X1])-[N;!R;X3;!$(N(C(=O))C(=O));!$(N=C);!$(N(S(=O)(=O))C(=O))]				[N;!R;X3;!$(N(C(=O))C(=O));!$(N=C);!$(N(S(=O)(=O))C(=O))]-[C;!R;X3;!$(C(=O)(N)N)](=[O;X1])				[N;!R;X3;!$(N(C(=O))C(=O));!$(N=C);!$(N(S(=O)(=O))C(=O))](y)-[C;!R;X3;!$(C(=O)(N)N)](=[O;X1])(y)
N-C(=O)						Ring0_20_2	45.0406		[N;!R;X3;!$(N(C(=O))C(=O));!$(N=C);!$(N(S(=O)(=O))C(=O))]-[C;!R;X3;!$(C(=O)(N)N)](=[O;X1])				[C;!R;X3;!$(C(=O)(N)N)](=[O;X1])-[N;!R;X3;!$(N(C(=O))C(=O));!$(N=C);!$(N(S(=O)(=O))C(=O))]				[C;!R;X3;!$(C(=O)(N)N)](=[O;X1])-[N;!R;X3;!$(N(C(=O))C(=O));!$(N=C);!$(N(S(=O)(=O))C(=O))](y)
C(=O)-O						Ring0_21_1	46.0254		[C;!R;X3;!$(C(=O)(O)O)](=[O;X1])-[O;!R;X2;!$(O(C(=O))C(=O))]								[O;!R;X2;!$(O(C(=O))C(=O))]-[C;!R;X3;!$(C(=O)(O)O)](=[O;X1])								[O;!R;X2;!$(O(C(=O))C(=O))]-[C;!R;X3;!$(C(=O)(O)O)](=[O;X1])(y)
O-C(=O)						Ring0_21_2	46.0254		[O;!R;X2;!$(O(C(=O))C(=O))]-[C;!R;X3;!$(C(=O)(O)O)](=[O;X1])								[C;!R;X3;!$(C(=O)(O)O)](=[O;X1])-[O;!R;X2;!$(O(C(=O))C(=O))]								[C;!R;X3;!$(C(=O)(O)O)](=[O;X1])-[O;!R;X2;!$(O(C(=O))C(=O))](y)
C(=S)						Ring0_22_1	46.092		[C;!R;X3](=[S;X1])													[C;!R;X3](=[S;X1])													[C;!R;X3](=[S;X1])(y)
N-C(=O)-N					Ring0_23_1	60.0553		[N;!R;X3;!$(N=C);!$(N(S(=O)(=O))C(=O))]-[C;!R;X3](=[O;X1])-[N;!R;X3;!$(N=C);!$(N(S(=O)(=O))C(=O))]			[N;!R;X3;!$(N=C);!$(N(S(=O)(=O))C(=O))]-[C;!R;X3](=[O;X1])-[N;!R;X3;!$(N=C);!$(N(S(=O)(=O))C(=O))]			[N;!R;X3;!$(N=C);!$(N(S(=O)(=O))C(=O))]-[C;!R;X3](=[O;X1])-[N;!R;X3;!$(N=C);!$(N(S(=O)(=O))C(=O))](y)
O-C(=O)-O					Ring0_24_1	62.0248		[O;!R;X2]-[C;!R;X3](=[O;X1])-[O;!R;X2]											[O;!R;X2]-[C;!R;X3](=[O;X1])-[O;!R;X2]											[O;!R;X2]-[C;!R;X3](=[O;X1])-[O;!R;X2](y)
S(=O)(=O)					Ring0_25_1	64.064		[S;!R;X4;!$(S(=O)(=O)N)](=[O;X1])(=[O;X1])										[S;!R;X4;!$(S(=O)(=O)N)](=[O;X1])(=[O;X1])										[S;!R;X4;!$(S(=O)(=O)N)](=[O;X1])(=[O;X1])(y)
C(=O)-N-C(=O)					Ring0_26_1	73.0507		[C;!R;X3](=[O;X1])-[N;!R;X3]-[C;!R;X3](=[O;X1])										[C;!R;X3](=[O;X1])-[N;!R;X3]-[C;!R;X3](=[O;X1])										[C;!R;X3](=[O;X1])-[N;!R;X3]-[C;!R;X3](=[O;X1])(y)
S(=O)(=O)-N					Ring0_28_1	81.094		[S;!R;!$(S(=O)(=O)(N)N)](=[O;X1])(=[O;X1])-[N;!R;X3;!$(N(S(=O)(=O))S(=O)(=O))]						[N;!R;X3;!$(N(S(=O)(=O))S(=O)(=O))]-[S;!R;!$(S(=O)(=O)(N)N)](=[O;X1])(=[O;X1])						[N;!R;X3;!$(N(S(=O)(=O))S(=O)(=O))](y)-[S;!R;!$(S(=O)(=O)(N)N)](=[O;X1])(=[O;X1])(y)
N-S(=O)=O					Ring0_28_2	81.094		[N;!R;X3;!$(N(S(=O)(=O))S(=O)(=O))]-[S;!R;!$(S(=O)(=O)(N)N)](=[O;X1])(=[O;X1])						[S;!R;!$(S(=O)(=O)(N)N)](=[O;X1])(=[O;X1])-[N;!R;X3;!$(N(S(=O)(=O))S(=O)(=O))]						[S;!R;!$(S(=O)(=O)(N)N)](=[O;X1])(=[O;X1])-[N;!R;X3;!$(N(S(=O)(=O))S(=O)(=O))](y)
N-S(=O)(=O)-N					Ring0_29_1	96.109		[N;!R;X3]-[S;!R;X4](=[O;X1])(=[O;X1])-[N;!R;X3]										[N;!R;X3]-[S;!R;X4](=[O;X1])(=[O;X1])-[N;!R;X3]										[N;!R;X3]-[S;!R;X4](=[O;X1])(=[O;X1])-[N;!R;X3](y)
C1CC1						Ring1_1_1	42.0797		[C;X4;R1]1[C;X4;R1][C;X4;R1]1												[C;X4;R1]3[C;X4;R1][C;X4;R1]3												[C;X4;R1]5(y)[C;X4;R1][C;X4;R1]5(y)
N1CC1						Ring1_2_1	43.0678		[N;R1]1[C;X4;R1][C;X4;R1]1												[C;X4;R1]3[C;X4;R1][N;R1]3												[C;X4;R1]5[C;X4;R1](y)[N;R1]5(y)
C1CN1						Ring1_2_2	43.0678		[C;X4;R1]1[C;X4;R1][N;R1]1												[N;R1]3[C;X4;R1][C;X4;R1]3												[N;R1]5[C;X4;R1](y)[C;X4;R1]5(y)
O1CC1						Ring1_3_1	44.0526		[O;R1]1[C;X4;R1][C;X4;R1]1												[C;X4;R1]3[C;X4;R1][O;R1]3												[C;X4;R1]5[C;X4;R1](y)[O;R1]5(y)
C1CCC1						Ring1_4_1	56.1063		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1]1											[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X4;R1]3											[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCN1						Ring1_5_1	57.0944		[C;X4;R1]1[C;X4;R1][C;X4;R1][N;R1]1											[N;R1]3[C;X4;R1][C;X4;R1][C;X4;R1]3											[N;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CNC1						Ring1_5_2	57.9044		[C;X4;R1]1[C;X4;R1][N;R1][C;X4;R1]1											[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1]3											[C;X4;R1]5[N;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1NCC1						Ring1_5_3	57.9044		[C;X4;R1]1[N;R1][C;X4;R1][C;X4;R1]1											[C;X4;R1]3[C;X4;R1][N;R1][C;X4;R1]3											[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X4;R1]5(y)
c1cccn1						Ring1_7_1	66.0813		[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][n;R1]1										[n;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3										[n;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1ccnc1						Ring1_7_2	66.0813		[c;X3;R1]1[c;X3;R1][c;X3;R1][n;R1][c;X3;R1]1										[c;X3;R1]3[n;R1][c;X3;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cncc1						Ring1_7_3	66.0813		[c;X3;R1]1[c;X3;R1][n;R1][c;X3;R1][c;X3;R1]1										[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[c;X3;R1](y)[n;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1ccn[nH]1					Ring1_8_1	67.0693		[c;X3;R1;!$(c=O)]1[c;X3;R1][c;X3;R1;!$(c=O)][n;X2;R1][n;X3;R1]1								[n;X3;R1]3[n;X2;R1][c;X3;R1;!$(c=O)][c;X3;R1][c;X3;R1;!$(c=O)]3								[n;X3;R1]5[n;X2;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1](y)[c;X3;R1;!$(c=O)]5(y)
c1c[nH]nc1					Ring1_8_2	67.0693		[c;X3;R1]1[c;X3;R1;!$(c=O)][n;X3;R1][n;X2;R1][c;X3;R1;!$(c=O)]1								[c;X3;R1;!$(c=O)]3[n;X2;R1][n;X3;R1][c;X3;R1;!$(c=O)][c;X3;R1]3								[c;X3;R1;!$(c=O)]5[n;X2;R1][n;X3;R1](y)[c;X3;R1;!$(c=O)](y)[c;X3;R1]5(y)
c1[nH]ncc1					Ring1_8_3	67.0693		[c;X3;R1;!$(c=O)]1[n;X3;R1][n;X2;R1][c;X3;R1;!$(c=O)][c;X3;R1]1								[c;X3;R1]3[c;X3;R1;!$(c=O)][n;X2;R1][n;X3;R1][c;X3;R1;!$(c=O)]3								[c;X3;R1]5[c;X3;R1;!$(c=O)](y)[n;X2;R1][n;X3;R1](y)[c;X3;R1;!$(c=O)]5(y)
